ssc_code,"suburb","urban_area",postcode,"state","state_name","type","local_goverment_area","statistic_area",elevation,population,median_income,sqkm,lat,lng,"timezone"
11344,"East Albury","Albury - East",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",246,6098,38064,12.329,-36.09041,146.93912,"Australia/Sydney"
12287,"Lavington","Albury - West",2641,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",207,12472,28080,14.778,-36.02909,146.93586,"Australia/Sydney"
11678,"Glenroy","Albury - West",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",256,3289,34944,8.058,-36.05258,146.89876,"Australia/Sydney"
10027,"Albury","Albury - West",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",166,4804,40872,5.683,-36.07352,146.91573,"Australia/Sydney"
12977,"North Albury","Albury - West",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",172,6058,28808,5.872,-36.06059,146.93743,"Australia/Sydney"
13722,"Table Top","",2640,"NSW","New South Wales","Rural locality","Albury (City)","Rest of NSW",192,1425,45292,175.329,-35.93717,147.02997,"Australia/Sydney"
13610,"Splitters Creek","",2640,"NSW","New South Wales","Rural locality","Albury (City)","Rest of NSW",260,267,44824,33.104,-36.05218,146.84864,"Australia/Sydney"
14239,"West Albury","Albury - West",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",177,3851,34788,5.411,-36.07353,146.88731,"Australia/Sydney"
13622,"Springdale Heights","Albury - West",2641,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",301,2036,27300,6.877,-36.02548,146.95794,"Australia/Sydney"
13856,"Thurgoona","Albury - East",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",197,8656,37492,35.631,-36.05481,146.98849,"Australia/Sydney"
13573,"South Albury","Albury - West",2640,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",157,1379,31824,4.223,-36.09831,146.91415,"Australia/Sydney"
14337,"Wirlinga","",2640,"NSW","New South Wales","Rural locality","Albury (City)","Rest of NSW",296,127,46800,41.003,-36.04811,147.05654,"Australia/Sydney"
11842,"Hamilton Valley","Albury - West",2641,"NSW","New South Wales","Urban locality","Albury (City)","Rest of NSW",232,566,36608,11.883,-36.02472,146.89686,"Australia/Sydney"
12032,"Jindera","",2642,"NSW","New South Wales","Rural locality","Greater Hume Shire (Area)","Rest of NSW",238,2222,36400,138.389,-35.95937,146.88177,"Australia/Sydney"
10085,"Armidale","Armidale",2350,"NSW","New South Wales","Urban locality","Armidale Regional (Area)","Rest of NSW",1033,23352,29328,274.600,-30.50195,151.66739,"Australia/Sydney"
